,Index,Movie_Name,Release_Year,Certificate,Run_Time,Rating,Summary,Director,Actors,Gross_Income
61,62.,American Beauty,1999,A,122 min,8.3,  A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,"Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch",$130.10M
62,63.,Good Will Hunting,1997,R,126 min,8.3,"  Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck",$138.43M
63,64.,Bacheha-Ye aseman,1997,PG,89 min,8.3,"  After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,"Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",$0.93M
64,65.,Eskiya,1996,No Data,128 min,8.3,"  Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.",Yavuz Turgul,"Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç",No Data
65,66.,Braveheart,1995,R,178 min,8.3,"  When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",Mel Gibson,"Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan",$75.60M
66,67.,Reservoir Dogs,1992,R,99 min,8.3,"  When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen",$2.83M
67,68.,Full Metal Jacket,1987,No Data,116 min,8.3,  A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,"Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",$46.36M
68,69.,Idi i smotri,1985,No Data,142 min,8.3,"  After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,"Elem Klimov,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",No Data
69,70.,Amadeus,1984,R,160 min,8.3,"  The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,"Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge",$51.97M
70,71.,Scarface,1983,A,170 min,8.3,"  In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma,"Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer",$45.60M
71,72.,Das Boot,1981,R,149 min,8.3,"  The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Wolfgang Petersen,"Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",$11.49M
72,73.,Taxi Driver,1976,No Data,114 min,8.3,"  A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Martin Scorsese,"Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd",$28.26M
73,74.,The Sting,1973,No Data,129 min,8.3,  Two grifters team up to pull off the ultimate con.,George Roy Hill,"George Roy Hill,Paul Newman,Robert Redford,Robert Shaw",$159.60M
74,75.,A Clockwork Orange,1971,No Data,136 min,8.3,"  In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates",No Data
