,Index,Movie_Name,Release_Year,Certificate,Run_Time,Rating,Summary,Director,Actors,Gross_Income
143,144.,No Country for Old Men,2007,R,122 min,8.1,  Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,"Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem",$74.28M
144,145.,There Will Be Blood,2007,R,158 min,8.1,"  A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds",$40.22M
145,146.,Million Dollar Baby,2004,UA,132 min,8.1,  A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,"Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman",$100.49M
146,147.,Hotel Rwanda,2004,PG-13,121 min,8.1,  Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,Terry George,"Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix",$23.53M
147,148.,Salinui chueok,2003,No Data,131 min,8.1,"  In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"Bong Joon Ho,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",$0.01M
148,149.,Mou gaan dou,2002,UA,101 min,8.1,"  A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Andrew Lau Wai-Keung,"Andrew Lau Wai-Keung,Alan Mak,Andy Lau,Tony Chiu-Wai Leung",$0.17M
149,150.,Catch Me If You Can,2002,UA,141 min,8.1,"  A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",Steven Spielberg,"Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken",$164.62M
150,151.,Amores perros,2000,R,154 min,8.1,"  A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo",$5.38M
151,152.,The Sixth Sense,1999,PG-13,107 min,8.1,  A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,"M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette",$293.51M
152,153.,La leggenda del pianista sull'oceano,1998,R,170 min,8.1,"  A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Giuseppe Tornatore,"Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry",$0.26M
153,154.,The Truman Show,1998,PG,103 min,8.1,  An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,"Peter Weir,Jim Carrey,Ed Harris,Laura Linney",$125.62M
154,155.,Faa yeung nin wa,2000,PG,98 min,8.1,"  Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,"Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",$2.73M
155,156.,Trainspotting,1996,R,93 min,8.1,"  Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,"Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller",$16.50M
156,157.,Fargo,1996,R,98 min,8.1,  Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,"Joel Coen,Ethan Coen,William H. Macy,Frances McDormand",$24.61M
157,158.,La haine,1995,No Data,98 min,8.1,  24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",$0.31M
158,159.,Before Sunrise,1995,R,101 min,8.1,"  A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert",$5.54M
159,160.,In the Name of the Father,1993,R,133 min,8.1,  A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,"Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",$25.01M
160,161.,Dead Poets Society,1989,No Data,128 min,8.1,  English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,Peter Weir,"Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke",$95.86M
161,162.,Akira,1988,R,124 min,8.1,  A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Katsuhiro Ôtomo,"Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama",$0.55M
162,163.,Stand by Me,1986,No Data,89 min,8.1,"  After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.",Rob Reiner,"Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman",$52.29M
163,164.,Platoon,1986,A,120 min,8.1,  A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,Oliver Stone,"Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe",$138.53M
164,165.,"Paris, Texas",1984,No Data,145 min,8.1,"  Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,"Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell",$2.18M
165,166.,The Elephant Man,1980,No Data,124 min,8.1,"  A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft",No Data
166,167.,The Deer Hunter,1978,A,183 min,8.1,  An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,"Michael Cimino,Robert De Niro,Christopher Walken,John Cazale",$48.98M
167,168.,Rocky,1976,No Data,120 min,8.1,  A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,"John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young",$117.24M
168,169.,Network,1976,No Data,121 min,8.1,  A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,"Sidney Lumet,Faye Dunaway,William Holden,Peter Finch",No Data
169,170.,Barry Lyndon,1975,No Data,185 min,8.1,  An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,"Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee",No Data
170,171.,Cool Hand Luke,1967,No Data,127 min,8.1,"  A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,"Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin",No Data
171,172.,Persona,1966,No Data,85 min,8.1,  A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,"Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook",No Data
172,173.,La battaglia di Algeri,1966,No Data,121 min,8.1,"  In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi",$0.06M
173,174.,Les quatre cents coups,1959,No Data,99 min,8.1,"  A young boy, left without attention, delves into a life of petty crime.",François Truffaut,"François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier",No Data
174,175.,Ben-Hur,1959,No Data,212 min,8.1,"  When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,"William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd",$74.70M
175,176.,The Bridge on the River Kwai,1957,PG,161 min,8.1,"  After settling his differences with a Japanese P.O.W. camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.",David Lean,"David Lean,William Holden,Alec Guinness,Jack Hawkins",$44.91M
176,177.,On the Waterfront,1954,No Data,108 min,8.1,  An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,"Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb",$9.60M
177,178.,Le salaire de la peur,1953,No Data,131 min,8.1,"  In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,"Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck",No Data
178,179.,Rebecca,1940,No Data,130 min,8.1,  A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,"Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders",$4.36M
179,180.,Mr. Smith Goes to Washington,1939,No Data,129 min,8.1,"  A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,"Frank Capra,James Stewart,Jean Arthur,Claude Rains",$9.60M
180,181.,Gone with the Wind,1939,No Data,238 min,8.1,  A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming,"Victor Fleming,George Cukor,Sam Wood,Clark Gable",$198.68M
181,182.,The General,1926,No Data,67 min,8.1,"  When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman,"Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack",No Data
182,183.,Before Sunset,2004,R,80 min,8.0,"  Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff",$5.82M
183,184.,Butch Cassidy and the Sundance Kid,1969,PG,110 min,8.0,"  Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,"George Roy Hill,Paul Newman,Robert Redford,Katharine Ross",$102.31M
